Word,definition,mean_valence,mean_arousal,mean_conc,mean_humor
'cher,"(noun) Corruption and abbreviation of ""teacher."" Origin: English.",6.01111111111111,4.91025641025641,4.15873015873016,3.13114754098361
11B,(noun) Singapore Armed Forces identity card issued to servicemen during National Service. Origin: English.,4.21276595744681,6.21428571428571,4.19354838709677,2.61538461538462
4D,(noun) Local four-digit lottery game run by Singapore Pools. Origin: English.,5.91764705882353,5.3974358974359,4.43333333333333,2.6
5Cs,"(noun) Refers to the 5 Cs of Singapore (cash, car, credit card, condominium, country club membership), commonly associated with materialistic success in modern Singapore. Origin: English.",4.8135593220339,4.56818181818182,3.63636363636364,2.59375
ACBC,"(noun) Acronym for ""act cute, buay cute""; describes someone trying to be overly cutesy but coming across as annoying. Origin: English; Hokkien.",4.42105263157895,5.30434782608696,2.1,2.53333333333333
Ah Beng,"(noun) A term for someone with poor dress sense or lacking sophistication, associated with gangsters. The male counterpart to an ""Ah Lian"" or ""Ah Huay."" Origin: Hokkien.",3.61111111111111,5.51851851851852,3.85714285714286,3
Ah Huay,(noun) A term for a young Chinese woman who is often a sidekick to an Ah Lian or the female counterpart to Ah Seng. Sometimes used to refer to a gangster. Origin: Hokkien.,4.44117647058824,4.5625,3.05263157894737,2.82758620689655
Ah Lian,"(noun) A term for a young Chinese woman with poor dress sense, often associated with a hillbilly or gangster. The female counterpart to Ah Beng. Origin: Hokkien.",3.84444444444444,5.45121951219512,3.96774193548387,3.17741935483871
Ah Long,(noun) 1. Slang term for a loan shark. 2. Sometimes used to refer to Lee Hsien Loong. Origin: Cantonese.,2.60714285714286,5.775,4.03333333333333,2.56140350877193
Ah Seng,"(noun) 1. A young Chinese man who is stereotypically uncouth, unrefined, and gangster-like. 2. John Doe; a generic name for an anonymous or unknown male. Origin: Hokkien.",4.58823529411765,4.75,3.44117647058824,2.66666666666667
O$P$,"(expression) Stands for ""Owe Money Pay Money."" Used in threats from loan sharks, often scrawled in markers or spray paint outside debtors' units. Origin: English; Chinese.",3.10714285714286,6.54545454545455,3.49180327868852,2.71666666666667
ORD,"(noun/verb) 1. Short form of ""Operationally Ready Date,"" the date when a full-time National Serviceman completes his full-time stint of National Service. 2. To reach one's Operationally Ready Date or to be released from one's full-time National Service duties. Origin: English.",7.13953488372093,6.16049382716049,3.93333333333333,2.66666666666667
Obasan,(noun) A term used to describe a women who is sloppily dressed and out of fashion. Origin: Japanese.,4.8695652173913,4.97222222222222,3.41935483870968,3.02941176470588
abit,(adverb) 1. A little; to an extent. 2. Quite; rather; very. Origin: English.,5.8876404494382,3.69135802469136,2.67741935483871,2.35483870967742
abuden,"(interjection) Used to express obviousness or imply ""What else could it have been?"" Equivalent to ""duh."" Origin: Hokkien.",4.95505617977528,5.81707317073171,1.82258064516129,3.58064516129032
act blur,(verb) To feign ignorance. Origin: English.,4.41573033707865,5.52439024390244,3.22222222222222,3.16129032258065
act cute,"(verb/adjective) To behave in a cutesy or quirky manner, often exaggeratedly. Origin: English.",4.46666666666667,4.95121951219512,3.34920634920635,2.90322580645161
action,(adjective/verb) 1. Refers to a person perceived as arrogant or haughty. 2. To show off. Origin: English.,5.16279069767442,4.96341463414634,2.82692307692308,3.11764705882353
agak agak,(verb/adjective/adverb) 1. To estimate or guess. 2. Estimated; through guesswork. 3. Approximately; roughly. Origin: Malay.,6.07594936708861,4.19178082191781,2.73076923076923,2.77777777777778
agar-ration,(noun) An estimate or rough approximation. Origin: Malay; English.,5.98765432098765,5.14473684210526,2.74576271186441,3.38333333333333
ah,"(interjection/particle/conjunction) 1. An exclamation used to express surprise or emphasis. 2. Used at the end of a sentence to express doubt, similar to ""ar."" 3. Indicates the speaker is awaiting confirmation or acknowledgment. 4. A filler word marking the point between the sentence topic and the rest of the sentence; emphasizes and calls attention to the sentence topic before continuing. 5. Indicates acknowledgment or approval. Origin: Chinese.",6,4.24691358024691,1.51666666666667,2.27868852459016
ah gua,(noun) 1. A male transvestite. 2. An effeminate man. 3. A trans woman; a male-to-female transgender person. 4. A male prostitute. Origin: Hokkien.,3.15584415584416,6,3.48148148148148,3.16666666666667
ah tiong,(noun) A derogatory term for Chinese nationals. Origin: Hokkien.,4.21428571428571,5.16666666666667,3.42307692307692,3.12903225806452
ai see,"(adjective) Used to describe someone in a precarious or risky situation, often on thin ice. Origin: Hokkien.",4.45614035087719,5.35294117647059,2.21052631578947,2.97560975609756
ai swee,(adjective) Refers to a person who is  conscious of or obsessed with beauty. Origin: Hokkien.,5.890625,5.140625,2.11627906976744,2.9622641509434
ai swee mai m'niah,(adjective) Used to describe someone so vain and beauty- or fashion-conscious that their life or well-being is compromised. Origin: Hokkien.,5.38235294117647,5.96774193548387,2.23529411764706,3.08333333333333
ai tzai,(expression) Used in a reassuring phrase to calm people down; stay calm. Origin: Hokkien.,5.4,4.76666666666667,2.22727272727273,2.75
aiyah,"(interjection) Expresses surprise, frustration, admiration, or pain, similar to ""Oh no!"" or ""Oh dear!"" Origin: Chinese; Tamil.",5.33333333333333,4.98780487804878,1.6031746031746,2.91803278688525
akan datang,"(adjective/interjection) Means ""coming soon,"" used to reassure an impatient person. Origin: Malay.",5.28125,4.69230769230769,2.77777777777778,2.2
alamak,"(interjection) Expresses shock or surprise, similar to ""Oh dear"" Origin: Malay.",5.43333333333333,5.64634146341463,1.98412698412698,3.69354838709677
amacam,"(interjection) Used as a greeting, similar to ""What's up?"" Origin: Malay.",4.84,5.10714285714286,2.08695652173913,3.1
an zhua?,"(interjection) 1. Meaning ""What’s the matter?"" or ""What’s up?"" 2. ""Hello""; used to answer the phone. Origin: Hokkien.",4.64285714285714,5.77777777777778,1.8974358974359,3.07142857142857
ang bao / hong bao,"(noun) A red packet containing money, typically given during Chinese New Year or special occasions as a gesture of good wishes. Origin: Hokkien.",8.29213483146067,6.76543209876543,4.56451612903226,2.09677419354839
ar,(verb) 1. To get into someone's good books. 2. To get or be friendly with. Origin: Hokkien.,5.69565217391304,4.67741935483871,1.53488372093023,2.64705882352941
ar bo,(conjunction) Otherwise; or; if not. Origin: Hokkien.,4.875,5.22857142857143,1.84,2.75757575757576
atas,"(adjective) Used to describe a snobbish or arrogant person or a ""high class,"" well-to-do, or sophisticated person. Origin: Malay.",6.44444444444444,5.25609756097561,2.87301587301587,2.79032258064516
ayam,(noun) 1. Someone who is easily intimidated. 2. A chicken. 3. Chicken meat. 4. A popular brand of condiments and canned foods. Origin: Malay.,6.58024691358025,4.66666666666667,4.28571428571429,2.26785714285714
bak kua,"(noun) A Chinese salty-sweet dried meat product, similar to jerky. Origin: Hokkien.",7.03333333333333,5.075,4.32258064516129,2.13793103448276
balik kampong,(verb) To pack up one's things and go home; refers to returning to one's hometown. Origin: Malay.,6.55555555555556,5.53968253968254,3.07843137254902,2.90566037735849
