"Word","mean_valence","mean_arousal","mean_conc","mean_humor"
"'cher",6.01111111111111,4.91025641025641,4.15873015873016,3.13114754098361
"11B",4.21276595744681,6.21428571428571,4.19354838709677,2.61538461538462
"4D",5.91764705882353,5.3974358974359,4.43333333333333,2.6
"5Cs",4.8135593220339,4.56818181818182,3.63636363636364,2.59375
"ACBC",4.42105263157895,5.30434782608696,2.1,2.53333333333333
"Ah Beng",3.61111111111111,5.51851851851852,3.85714285714286,3
"Ah Huay",4.44117647058824,4.5625,3.05263157894737,2.82758620689655
"Ah Lian",3.84444444444444,5.45121951219512,3.96774193548387,3.17741935483871
"Ah Long",2.60714285714286,5.775,4.03333333333333,2.56140350877193
"Ah Seng",4.58823529411765,4.75,3.44117647058824,2.66666666666667
"O$P$",3.10714285714286,6.54545454545455,3.49180327868852,2.71666666666667
"ORD",7.13953488372093,6.16049382716049,3.93333333333333,2.66666666666667
"Obasan",4.8695652173913,4.97222222222222,3.41935483870968,3.02941176470588
"abit",5.8876404494382,3.69135802469136,2.67741935483871,2.35483870967742
"abuden",4.95505617977528,5.81707317073171,1.82258064516129,3.58064516129032
"act blur",4.41573033707865,5.52439024390244,3.22222222222222,3.16129032258065
"act cute",4.46666666666667,4.95121951219512,3.34920634920635,2.90322580645161
"action",5.16279069767442,4.96341463414634,2.82692307692308,3.11764705882353
"agak agak",6.07594936708861,4.19178082191781,2.73076923076923,2.77777777777778
"agar-ration",5.98765432098765,5.14473684210526,2.74576271186441,3.38333333333333
"ah",6,4.24691358024691,1.51666666666667,2.27868852459016
"ah gua",3.15584415584416,6,3.48148148148148,3.16666666666667
"ah tiong",4.21428571428571,5.16666666666667,3.42307692307692,3.12903225806452
"ai see",4.45614035087719,5.35294117647059,2.21052631578947,2.97560975609756
"ai swee",5.890625,5.140625,2.11627906976744,2.9622641509434
"ai swee mai m'niah",5.38235294117647,5.96774193548387,2.23529411764706,3.08333333333333
"ai tzai",5.4,4.76666666666667,2.22727272727273,2.75
"aiyah",5.33333333333333,4.98780487804878,1.6031746031746,2.91803278688525
"akan datang",5.28125,4.69230769230769,2.77777777777778,2.2
"alamak",5.43333333333333,5.64634146341463,1.98412698412698,3.69354838709677
"amacam",4.84,5.10714285714286,2.08695652173913,3.1
"an zhua?",4.64285714285714,5.77777777777778,1.8974358974359,3.07142857142857
"ang bao / hong bao",8.29213483146067,6.76543209876543,4.56451612903226,2.09677419354839
"ar",5.69565217391304,4.67741935483871,1.53488372093023,2.64705882352941
"ar bo",4.875,5.22857142857143,1.84,2.75757575757576
"atas",6.44444444444444,5.25609756097561,2.87301587301587,2.79032258064516
"ayam",6.58024691358025,4.66666666666667,4.28571428571429,2.26785714285714
"bak kua",7.03333333333333,5.075,4.32258064516129,2.13793103448276
"balik kampong",6.55555555555556,5.53968253968254,3.07843137254902,2.90566037735849
"bao toh",3.72916666666667,6.02173913043478,2.63888888888889,3
"barang barang",5.52325581395349,4.47368421052632,3.96610169491525,2.84745762711864
"belanja",6.50724637681159,5.50793650793651,3,2.61224489795918
"berak",4.13888888888889,5.3,3.95833333333333,3.1
"bo beh zao",4.88888888888889,6.21621621621622,2.24,3.125
"bo chap",4.37349397590361,4.37662337662338,2.78688524590164,3.12903225806452
"bo eng",4.25,5.11666666666667,2.57894736842105,2.66666666666667
"bo geh",4.37179487179487,5.14705882352941,4,3.84905660377358
"bo jio",4.39080459770115,6.03658536585366,2.74603174603175,3
"bo liao",4.80898876404494,5.0875,2.45161290322581,3.06451612903226
"bo pian",4.48863636363636,4.8625,2.33870967741935,3.14516129032258
"bo ta bo lan pa",4.76,7.11627906976744,2.31428571428571,3.75609756097561
"bo tao boh peh",4.66666666666667,5.75757575757576,2.30434782608696,3.04166666666667
"bo zheng hu",5.23076923076923,5.35135135135135,2.53125,3.38235294117647
"bodoh",4.04444444444444,6.21951219512195,2.95238095238095,3.51612903225806
"boleh",6.61627906976744,4.93670886075949,2.41666666666667,2.87096774193548
"botak",4.67777777777778,4.82926829268293,4.50793650793651,3.75806451612903
"buay",4.74647887323944,4.89041095890411,2.09615384615385,2.53448275862069
"buay gan",3.76315789473684,5.48837209302326,2.72413793103448,2.68965517241379
"buay pai",6.12068965517241,5.34545454545455,2.44444444444444,2.97777777777778
"buay song",3.49350649350649,6.08450704225352,2.85964912280702,2.96428571428571
"buay steady",4.40963855421687,5.05,2.38333333333333,3.0655737704918
"buay tahan",4.01111111111111,5.57317073170732,2.59677419354839,3.33333333333333
